Tue 10 Sep 2024, 10:47PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
11.614, 29, Clicked: RED, x=176,  y=768,  DARK_RED: x=186,  y=762,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=30,  score=30, ORANGE: x=1371,  y=903,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1755,  y=774,  dx=0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
11.762, 30, Clicked: RED, x=170,  y=794,  DARK_RED: x=180,  y=779,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=31,  score=31, ORANGE: x=1384,  y=891,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1749,  y=783,  dx=-0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
11.895, 31, Clicked: RED, x=166,  y=807,  DARK_RED: x=175,  y=794,  dx=-0.03197006494777562,  dy=0.09475185986161438,  clicks=32,  score=32, ORANGE: x=1396,  y=880,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1735,  y=792,  dx=-0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
12.324, 32, Clicked: RED, x=155,  y=844,  DARK_RED: x=161,  y=844,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=33,  score=33, ORANGE: x=1433,  y=844,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1691,  y=818,  dx=-0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
12.617, 33, Clicked: RED, x=147,  y=868,  DARK_RED: x=172,  y=878,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=34,  score=34, ORANGE: x=1460,  y=819,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1660,  y=837,  dx=-0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
13.55, 34, Clicked: RED, x=191,  y=897,  DARK_RED: x=209,  y=855,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=35,  score=35, ORANGE: x=1543,  y=741,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1562,  y=896,  dx=-0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
13.664, 35, Clicked: RED, x=198,  y=864,  DARK_RED: x=213,  y=842,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=36,  score=36, ORANGE: x=1553,  y=732,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1550,  y=903,  dx=-0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
13.793, 36, Clicked: RED, x=198,  y=859,  DARK_RED: x=218,  y=827,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=37,  score=37, ORANGE: x=1564,  y=721,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1537,  y=911,  dx=-0.08573401683202332,  dy=0.051475026545368036,  clicks=0,  score=0,
13.941, 37, Clicked: RED, x=199,  y=841,  DARK_RED: x=224,  y=810,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=38,  score=38, ORANGE: x=1578,  y=708,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1521,  y=920,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
14.074, 38, Clicked: RED, x=199,  y=830,  DARK_RED: x=229,  y=794,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=39,  score=39, ORANGE: x=1589,  y=697,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1507,  y=911,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
14.487, 39, Clicked: RED, x=209,  y=755,  DARK_RED: x=245,  y=747,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=40,  score=40, ORANGE: x=1626,  y=663,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1465,  y=886,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
14.851, 40, Clicked: RED, x=225,  y=695,  DARK_RED: x=259,  y=705,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=41,  score=41, ORANGE: x=1658,  y=633,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1427,  y=863,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
15.048, 41, Clicked: RED, x=238,  y=652,  DARK_RED: x=267,  y=683,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=42,  score=42, ORANGE: x=1675,  y=616,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1406,  y=851,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
15.389, 42, Clicked: RED, x=252,  y=631,  DARK_RED: x=280,  y=643,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=43,  score=43, ORANGE: x=1706,  y=588,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1370,  y=829,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
15.605, 43, Clicked: RED, x=275,  y=589,  DARK_RED: x=289,  y=618,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=44,  score=44, ORANGE: x=1725,  y=570,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1348,  y=816,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
