Sun 08 Sep 2024, 04:56PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
8.384, 18, Clicked: RED, x=184,  y=363,  DARK_RED: x=181,  y=352,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=24,  score=14, ORANGE: x=1032,  y=235,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1304,  y=380,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
8.484, 18, Clicked: RED, x=184,  y=364,  DARK_RED: x=190,  y=360,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=25,  score=14, ORANGE: x=1040,  y=228,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1316,  y=375,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
8.614, 18, Clicked: RED, x=190,  y=365,  DARK_RED: x=202,  y=370,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=26,  score=14, ORANGE: x=1051,  y=219,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1332,  y=367,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
8.728, 18, Clicked: RED, x=192,  y=366,  DARK_RED: x=213,  y=379,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=27,  score=14, ORANGE: x=1060,  y=211,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1346,  y=361,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
8.844, 18, Clicked: RED, x=195,  y=367,  DARK_RED: x=223,  y=388,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=28,  score=14, ORANGE: x=1069,  y=202,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1360,  y=354,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
8.943, 18, Clicked: RED, x=205,  y=374,  DARK_RED: x=232,  y=396,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=29,  score=14, ORANGE: x=1078,  y=195,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1372,  y=349,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
9.177, 18, Clicked: RED, x=296,  y=416,  DARK_RED: x=254,  y=414,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=30,  score=14, ORANGE: x=1096,  y=179,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1400,  y=336,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
9.329, 18, Clicked: RED, x=297,  y=417,  DARK_RED: x=267,  y=426,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, ORANGE: x=1109,  y=169,  dx=0.06761781463829683,  dy=-0.05843019347804512,  clicks=6,  score=4, YELLOW: x=1418,  y=327,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
10.332, 18, Clicked: ORANGE, x=1164,  y=256,  RED: x=360,  y=505,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1191,  y=221,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=7,  score=5, YELLOW: x=1539,  y=271,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
10.462, 19, Clicked: ORANGE, x=1164,  y=255,  RED: x=372,  y=516,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1202,  y=231,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=8,  score=6, YELLOW: x=1555,  y=263,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
