Sun 08 Sep 2024, 04:47PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
8.214, 17, Clicked: RED, x=381,  y=542,  DARK_RED: x=373,  y=516,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=10,  score=0, ORANGE: x=580,  y=669,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=436,  y=228,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
8.344, 17, Clicked: RED, x=384,  y=557,  DARK_RED: x=384,  y=536,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=11,  score=0, ORANGE: x=586,  y=657,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=439,  y=218,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
8.444, 17, Clicked: RED, x=385,  y=566,  DARK_RED: x=391,  y=550,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=12,  score=0, ORANGE: x=590,  y=648,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=441,  y=210,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
8.545, 17, Clicked: RED, x=389,  y=580,  DARK_RED: x=399,  y=565,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=13,  score=0, ORANGE: x=594,  y=640,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=442,  y=203,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
8.662, 17, Clicked: RED, x=399,  y=596,  DARK_RED: x=408,  y=582,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=14,  score=0, ORANGE: x=599,  y=629,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=444,  y=194,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
8.776, 17, Clicked: RED, x=401,  y=598,  DARK_RED: x=417,  y=600,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=15,  score=0, ORANGE: x=604,  y=619,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=446,  y=185,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
8.91, 17, Clicked: RED, x=409,  y=611,  DARK_RED: x=427,  y=619,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=16,  score=0, ORANGE: x=610,  y=607,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=449,  y=175,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
9.01, 17, Clicked: RED, x=441,  y=641,  DARK_RED: x=435,  y=634,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=17,  score=0, ORANGE: x=614,  y=599,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=451,  y=168,  dx=0.014692832918834414,  dy=-0.06264374753020312,  clicks=17,  score=17,
9.16, 17, Clicked: RED, x=457,  y=655,  DARK_RED: x=446,  y=656,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=18,  score=0, ORANGE: x=620,  y=585,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=453,  y=162,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
9.276, 17, Clicked: RED, x=457,  y=656,  DARK_RED: x=455,  y=673,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=19,  score=0, ORANGE: x=625,  y=575,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=455,  y=171,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
