Sun 08 Sep 2024, 11:42PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
7.716, 20, Clicked: YELLOW, x=1020,  y=685,  RED: x=313,  y=163,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=7,  score=7, ORANGE: x=383,  y=491,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=1040,  y=692,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=20,  score=14,
8.163, 21, Clicked: YELLOW, x=990,  y=688,  RED: x=367,  y=165,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=7,  score=7, ORANGE: x=329,  y=486,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=986,  y=693,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=21,  score=15,
8.325, 22, Clicked: YELLOW, x=975,  y=691,  RED: x=387,  y=166,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=7,  score=7, ORANGE: x=309,  y=483,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=966,  y=694,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=22,  score=16,
8.458, 23, Clicked: YELLOW, x=975,  y=691,  RED: x=403,  y=166,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=7,  score=7, ORANGE: x=293,  y=482,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=950,  y=695,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=23,  score=17,
8.588, 24, Clicked: YELLOW, x=960,  y=691,  RED: x=419,  y=167,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=7,  score=7, ORANGE: x=277,  y=480,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=934,  y=695,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=24,  score=18,
8.721, 25, Clicked: YELLOW, x=926,  y=691,  RED: x=435,  y=168,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=7,  score=7, ORANGE: x=261,  y=478,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=918,  y=696,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=25,  score=19,
8.836, 26, Clicked: YELLOW, x=913,  y=691,  RED: x=449,  y=168,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=7,  score=7, ORANGE: x=247,  y=477,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=904,  y=696,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=26,  score=20,
8.984, 27, Clicked: YELLOW, x=904,  y=691,  RED: x=467,  y=169,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=7,  score=7, ORANGE: x=230,  y=475,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=886,  y=697,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=27,  score=21,
9.087, 28, Clicked: YELLOW, x=885,  y=690,  RED: x=479,  y=170,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=7,  score=7, ORANGE: x=218,  y=474,  dx=-0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, DARK_YELLOW: x=874,  y=697,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
10.424, 29, Clicked: RED, x=669,  y=223,  DARK_RED: x=641,  y=177,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=8,  score=7, ORANGE: x=261,  y=456,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=712,  y=702,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
10.589, 29, Clicked: RED, x=670,  y=223,  DARK_RED: x=661,  y=178,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=9,  score=7, ORANGE: x=281,  y=454,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=692,  y=703,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
10.839, 29, Clicked: RED, x=694,  y=218,  DARK_RED: x=691,  y=179,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=10,  score=7, ORANGE: x=311,  y=451,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=662,  y=704,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
10.972, 29, Clicked: None, x=761, y=216,  RED: x=707,  y=180,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=10,  score=7, ORANGE: x=327,  y=449,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=646,  y=704,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
11.105, 29, Clicked: RED, x=761,  y=216,  DARK_RED: x=723,  y=180,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=11,  score=7, ORANGE: x=342,  y=448,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=630,  y=705,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
11.237, 29, Clicked: RED, x=761,  y=216,  DARK_RED: x=739,  y=181,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=12,  score=7, ORANGE: x=358,  y=446,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=614,  y=705,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
