Tue 10 Sep 2024, 11:05PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
################# INIT balls ######################
6.096, Init stimuli, 0, 
6.096, 0, Clicked: Shuffle, x=1812, y=39,  RED: x=732,  y=347,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1749,  y=1013,  dx=-0.05708939656470226,  dy=-0.0821023799891219,  clicks=0,  score=0, YELLOW: x=70,  y=531,  dx=-0.02778815621387794,  dy=0.09606153431125863,  clicks=0,  score=0,
20.44, 16, Clicked: None, x=762, y=815, Clicked: ORANGE, x=762,  y=815, Clicked: None, x=762, y=815,  RED: x=1319,  y=309,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=759,  y=821,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=11,  score=1, YELLOW: x=641,  y=674,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
20.555, 17, Clicked: None, x=746, y=829, Clicked: ORANGE, x=746,  y=829, Clicked: None, x=746, y=829,  RED: x=1333,  y=309,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=751,  y=833,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=12,  score=2, YELLOW: x=645,  y=688,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
20.687, 18, Clicked: None, x=746, y=829, Clicked: ORANGE, x=746,  y=829, Clicked: None, x=746, y=829,  RED: x=1349,  y=308,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=742,  y=846,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=13,  score=3, YELLOW: x=649,  y=703,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
21.188, 19, Clicked: None, x=697, y=895, Clicked: ORANGE, x=697,  y=895, Clicked: None, x=697, y=895,  RED: x=1409,  y=307,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=708,  y=895,  dx=-0.05708939656470226,  dy=0.0821023799891219,  clicks=14,  score=4, YELLOW: x=666,  y=761,  dx=0.02778815621387794,  dy=0.09606153431125863,  clicks=16,  score=16,
21.657, 20, Clicked: None, x=693, y=936, Clicked: ORANGE, x=693,  y=936, Clicked: None, x=693, y=936,  RED: x=1465,  y=306,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=679,  y=905,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=15,  score=5, YELLOW: x=678,  y=778,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
22.134, 21, Clicked: None, x=629, y=845, Clicked: ORANGE, x=629,  y=845, Clicked: None, x=629, y=845,  RED: x=1523,  y=305,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=657,  y=846,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=16,  score=6, YELLOW: x=684,  y=726,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
22.529, 22, Clicked: None, x=612, y=787, Clicked: ORANGE, x=612,  y=787, Clicked: None, x=612, y=787,  RED: x=1571,  y=304,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=638,  y=796,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=17,  score=7, YELLOW: x=689,  y=684,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
22.928, 23, Clicked: None, x=577, y=701, Clicked: None, x=577, y=701, Clicked: None, x=577, y=701,  RED: x=1619,  y=303,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=619,  y=747,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=17,  score=7, YELLOW: x=693,  y=641,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
23.205, 23, Clicked: None, x=571, y=680, Clicked: ORANGE, x=571,  y=680, Clicked: None, x=571, y=680,  RED: x=1653,  y=302,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=605,  y=712,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=18,  score=8, YELLOW: x=697,  y=611,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
23.352, 24, Clicked: None, x=571, y=679, Clicked: ORANGE, x=571,  y=679, Clicked: None, x=571, y=679,  RED: x=1671,  y=301,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=598,  y=694,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=19,  score=9, YELLOW: x=699,  y=595,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
